date_id,release_date,year,month
892,2013-10-31,2013,10
893,2013-11-01,2013,11
894,2013-11-04,2013,11
895,2013-11-05,2013,11
896,2013-11-06,2013,11
897,2013-11-07,2013,11
898,2013-11-08,2013,11
899,2013-11-11,2013,11
900,2013-11-12,2013,11
901,2013-11-13,2013,11
902,2013-11-14,2013,11
903,2013-11-15,2013,11
904,2013-11-18,2013,11
905,2013-11-19,2013,11
906,2013-11-20,2013,11
907,2013-11-21,2013,11
908,2013-11-22,2013,11
909,2013-11-25,2013,11
910,2013-11-27,2013,11
911,2013-11-28,2013,11
912,2013-12-03,2013,12
913,2013-12-04,2013,12
914,2013-12-05,2013,12
915,2013-12-06,2013,12
916,2013-12-09,2013,12
917,2013-12-10,2013,12
918,2013-12-11,2013,12
919,2013-12-12,2013,12
920,2013-12-13,2013,12
921,2013-12-16,2013,12
922,2013-12-17,2013,12
923,2013-12-19,2013,12
924,2014-01-03,2014,1
925,2014-01-06,2014,1
926,2014-01-08,2014,1
927,2014-01-09,2014,1
928,2014-01-10,2014,1
929,2014-01-13,2014,1
930,2014-01-14,2014,1
931,2014-01-15,2014,1
932,2014-01-16,2014,1
933,2014-01-21,2014,1
934,2014-01-22,2014,1
935,2014-01-23,2014,1
936,2014-01-24,2014,1
937,2014-01-27,2014,1
938,2014-01-28,2014,1
939,2014-01-29,2014,1
940,2014-01-30,2014,1
941,2014-01-31,2014,1
942,2014-02-03,2014,2
943,2014-02-04,2014,2
944,2014-02-05,2014,2
945,2014-02-06,2014,2
946,2014-02-07,2014,2
947,2014-02-10,2014,2
948,2014-02-11,2014,2
949,2014-02-13,2014,2
950,2014-02-14,2014,2
951,2014-02-17,2014,2
952,2014-02-18,2014,2
953,2014-02-19,2014,2
954,2014-02-20,2014,2
955,2014-02-21,2014,2
956,2014-02-24,2014,2
957,2014-02-25,2014,2
958,2014-02-26,2014,2
959,2014-02-27,2014,2
960,2014-02-28,2014,2
961,2014-03-03,2014,3
962,2014-03-04,2014,3
963,2014-03-05,2014,3
964,2014-03-06,2014,3
965,2014-03-07,2014,3
966,2014-03-10,2014,3
967,2014-03-11,2014,3
968,2014-03-12,2014,3
969,2014-03-13,2014,3
970,2014-03-14,2014,3
971,2014-03-17,2014,3
972,2014-03-18,2014,3
973,2014-03-19,2014,3
974,2014-03-20,2014,3
975,2014-03-21,2014,3
976,2014-03-24,2014,3
977,2014-03-25,2014,3
978,2014-03-26,2014,3
979,2014-03-27,2014,3
980,2014-03-28,2014,3
981,2014-03-31,2014,3
